category,last_replier,poster,replies,text,topic,views 
Bid and Sell,Clicio,geri,12,"Hello guys, I recently buy this Mapple.

Can you tell me what value does she have?!

Regards",What value does she have?,3355
Bid and Sell,Auk,enes koç,3,"Hello,
If i want to sell it
size 90-100 cm.
For bid Contact:",for sale bonsai,1923
Bid and Sell,m5eaygeoff,Samantha,1,"Does any body have any cool tools, for sale?",tools,2065
Bid and Sell,Auk,Beanwagon,2,"I picked up a few old Japanese buxus from the side of the road and cut them way back. Obviously they need a fair bit of work but the trunk is already there.

What would you value them for with a...",Japanese Buxus value?,2931
Bid and Sell,m5eaygeoff,jacksonseven,1,"Hello. I have recently been given some outdoor bonsai trees. How would I go about having them appraised and then finding potential buyers. I live in Vancouver, Canada. Thanks.",Bonsai Appraisal/Sale,3184
Evolve,Madartej21,Orlando,5,"At the NBS in Hazerswoude-dorp in the Netherlands, the Bonsai Association Apeldoorn has won a lot of prizes,
my tree included. A nomination and the audience award. A special moment for me, because at...",4 years training of a Juniperus chinensis,254
Evolve,Clicio,Clicio,11,"This is a list to help beginners and intermediate students of bonsai.
PLEASE feel free to contribute, I am sure many will have good literature to suggest.

BASIC - Level 0 
BEFORE even thinking about...",Bonsai books - A basic list,422
Evolve,tubaboy,tubaboy,3,"I was wondering if any of you have experience with thread grafting. How easy is it? does it work on most decidous species? If you've done it multiple times, any special ideas as to how to be more...",Thread grafting,279
Evolve,alainleon1983,Auk,1,"Horse chestnuts are not the best subjects for bonsai due to their huge leaf size.
However, the leaf size can be reduced. Also...chestnuts are free :)

I have three of 'm, grown from seed. One of them...",Chestnut leaf size reduction,414
Evolve,tubaboy,tubaboy,8,"I have an acer that I am begining to train as a bonsai... from what I have read, moss can aid in the production of nebari, as well as help the roots grow stronger and better near the soil surface....",moss,1334
Evolve,spacewood,leatherback,6,"In another post there was some initial discussion on Tanuki (https://en.wikipedia.org/wiki/Deadwood_bonsai_techniques)

In an open discussion I would like to ask.. Is this a bad thing?

My view:...",To Nuki or not Tanuki?,1464
Evolve,Clicio,Clicio,13,"As seen in Omiya Bonsai Village.
I was stunned!",Let's talk about deadwood?,1579
Evolve,m5eaygeoff,,16,"Hello there,

I wanted to share this Pinus Sylvestris evolution, belonging to one of our Bonsai Club members, with you. But first, backgrounds... This pine was collected back in 2013 in Spain...",Pinus Sylvestris Evolution,1513
Evolve,m5eaygeoff,m5eaygeoff,3,"I am going to the show at Saulieu for the first time with three friends this year, any of you guys going? We will be wearing our Blackmore Vale Bonsai Group shirts with the logo, so if you see us say...",Show at Saulieu,198
Evolve,tubaboy,tubaboy,3,I have a prevet that I missed the Ball on repotting this spring. it is so root bound I almost had to cut the roots to get it out of the pot. any tips on after care other than avoiding direct sunlight?...,Emergency repots after care,216
Evolve,Madartej21,Auk,3,"Like probably many of us, I try to grow moss. This appeared to work pretty good:

1. A shallow tray
2. A layer of sand
3. Treebark chips on top

I did not even add moss or spores,the moss just started...",Growing moss,350
Evolve,tubaboy,m5eaygeoff,17,"I don't know about the rest of Europe,or elsewhere, and obviously there are variations, but I have not watered my trees since about October. They are just not drying out. We have had so much rain in...",when did you last have to water,1571
Evolve,Mimo,Mimo,15,"Hi lads, I will add some pics in here of my latest acquisitions I collected over last few days and will collect in coming days as I took a holiday especially for collection new trees :P
I am looking...",Mimo´s yamadori 2018,1720
Evolve,spacewood,Clicio,10,"I am very grateful to all members of this forum; just by reading old and new posts from auk, leatherback, m5eaygeoff, mimo, manofthetrees, samantha, oscar, just to name a few, I progressed 5 years in...",A post of gratitude,1558
Evolve,leatherback,Auk,5,"Interesting idea but... When I go to the forum I always look at the most recent posts. Also, this is a category, not a separate section with categories for the regulars?

Still... It is a start....",Testng...,1226
Evolve,m5eaygeoff,,8,"This category is accessible to all, but for now only the most active members of the forum can post in it. This way we offer active posters a private area for discussions.

In a few weeks time we'll...",Evolve - private area,1236
Bonsai cafe,Youri1995,snuffy,2,"Here is a link to a free japanese maple bonsai simulator.
http://frankforce.com/?page_id=1030

For those times when you just want to prune or mess around with a tree, at the wrong time. If you kill...",free bonsai simulator,5630
Bonsai cafe,,manofthetrees,2,"howdy oscar and youri,
nice additions to the forum ,but on the index the &quot;new posting&quot; signifiers are not going away after i have read them.not a big deal but figured you would want to know

keith",,4750
Bonsai cafe,manofthetrees,,2,"Pretty cool tokonoma I think!

(By Teunis Jan Klein)",Bonsai (holiday) tokonoma,4580
Bonsai cafe,manofthetrees,manofthetrees,3,anybody watching the venus eclipse ...not the most exiting thing but check it out,once in a life time,4945
Bonsai cafe,snuffy,aklister71,16,"Nature inspires us to create remarkable lil' trees. :P I thought we could share some of that inspiration through pictures. B)

I go on long walks with my dog, Scout. We head in one direction an just...",Natural Beauty,13.9k
Bonsai cafe,MWid,aklister71,1,":lol: attended my first Mid Missouri Bonsai Club meeting tody, about 12 people from the area were there with some gorgeous trees

Jane brought a honeysuckle -- interesting choice.

I am loving the new...",First Mid-Mo Bonsai Club Meeting,7717
Bonsai cafe,Youri1995,,2,"Hi everyone, how are you all doing? :)

I'm busy writing an article about Bonsai potters around the whole world. Bonsai pots are very important on how the whole tree look like, when choosing a wrong...",Bonsai Pot Collection,10.8k
Bonsai cafe,aklister71,aklister71,4,":P I just ordered myself a 3 year old flowering brush cherry bonsai tree for my birthday. It should hopefully be here by Wednesday, by my birthday on Friday for sure.

I love the flowers of Cherry...",Birthday Time !!!,10.3k
Bonsai cafe,,Pinkham,2,When I came to the forum today I noticed that my avatar was gone..also my messages and most of my info. Did anyone else find this?,,10.3k
Bonsai cafe,BassandBonsai,BassandBonsai,5,"Wow! This site has grown a whole lot since I joined earlier this year. I've been gone for awhile, (4 AP courses, Japanese class, and Japanese club seem to have stolen all of my free time) and coming...",Forum EXPLOSION,10.3k
Bonsai cafe,snuffy,snuffy,21,"this wildfire started around 1p.m. yesterday in the mountains west of colorado springs, co. They have issued mandatory evacuations for all of manitou springs, green mountain falls, and cascade. They...","here in c/s, co",9611
Bonsai cafe,leatherback,manofthetrees,12,"howdy all,
woh! its been almost 3 months since i've been around :blink: ...
its a long boring complicated story so ... my computer is back and so am i :P . my indoors are doing great they have all...",hey!!! were the heck've i been,14k
Bonsai cafe,Vnolan,Pinkham,13,"Hi folks,
Have any of you successfully grown fruit trees from lemon, avocado or papaya seeds from grocery store produce?
I have been so bored lately that I started some of them. I did research on the...",winter insanity.,14.3k
Bonsai cafe,TKHooper,snuffy,7,"I went to a local nature park to see what I call natural bonsai. Trees that were created by nature, that are much like bonsai. On to of this one hill there were a few such trees, I go up there and...",Sad day for bonsai and tree lovers alike,4778
Bonsai cafe,Bensai,Bensai,5,"Don't really know where this would go - but I think a great idea for this site would be as follows: to have the ability to post a public profile anywhere that displays a users pictures, articles,...",Where can I ask questions about this site?,7642
Bonsai cafe,,,1,"Just noticed this haha.
This web site rocks! Keep up helping fellow &quot;bonsiers&quot; :P",1000 replies in the help me! forum,10.6k
Bonsai cafe,Youri1995,aklister71,3,":P ... took me most of the day -- but it was fun. I made a Gingerbread House for the first time today. Practice for Christmas, neede it -- learned a lot.",Gingerbread House,10.8k
Bonsai cafe,,,4,"I just looked at my private messages and noticed i have 403 msg's from someone called promgreen. All the msg's were delivered today.

They all promotional msg's for swarovski fashion and charm...",,10.3k
Bonsai cafe,Leslie,Leslie,11,,Introduce Your Pet(s),12.7k
Bonsai cafe,Youri1995,aklister71,1,"I enjoy using colors to make what I type stand out. It isn't that difficult to bold, italisize or color your text. Adding images and website links are just as simple. Here are the sites I use for &quot;how...","BB Code .. colors, texts, pictures",10.7k
Bonsai cafe,bob,leatherback,8,"As discussed in another topic.. It is quiet here. Guess.. I myself have been away a lot. And now.. We have snow. So my trees are now resting..:

Azalea pre-bonsai

Juniper

Other stuff

What do...",Quiet winter,1344
Bonsai cafe,SimoneLogan,SimoneLogan,2,"Hi everyone,

I'm Simone and I just started to explore the Bonsai world :).

I'd like to share with you some pictures of my first bonsai and have your feedback. I purchased this plant in a supermarket...",First Bonsai - Ficus Microcarpa - Less than $ 5,1304
Bonsai cafe,Youri1995,Maurice75,2,"Hello everyone.

I have a question regarding registration on the forum in the Netherlands..

There is a big differance between registration here and there..

Here, i can choose whatever username i...",registration on bonsaiempire in the Netherlands???,1272
Bonsai cafe,bob,penz,3,"Hi.

I've seen people on this forum asking: Which is the tree that would grow faster as a bonsai and the one true answer is: Bonsai is an art of patience so you shouln't look for the one that grows...",Bonsai & Patience,1505
Bonsai cafe,Marvel170,JanMcMahon,3,Just read a stupid article about how bonsai is about putting trees in ancient Chinese torture devises and some guy who sees his &quot;bonsai&quot; as his prisoners :angry: or something. Just wanted to share it...,Tortured Trees: Brutal Bonsai Bondage Art Series,3720
Bonsai cafe,raewynk,scentofpink,4,"Hello Forum

On Facebook I heard/saw an allarming fact: Japanese bonsai nursery are dying out! Lots of enthusiast are way over 70-80 and not all of them do have Kokufu master pieces in they...",How to help japanese bonsai nursery,1185
Bonsai cafe,penz,penz,0,I've read many articles that try to relate bonsai with other subjects on life. I though it would be fun to talk on my blog about what we can learn about relationships while growing bonsai. Enjoy:...,Bonsai & Relationships,1380
Bonsai cafe,Gnarlwood,Gnarlwood,7,"These last few months I've been busy going to school and working. However, I haven't given up on bonsai! During this time I did one talk, made one PowerPoint, and wrote one 13 page paper on bonsai....",Busy Bonsai,2041
Bonsai cafe,manofthetrees,,1,Wise words from Pablo Picasso!,beautiful quote by Pablo Picasso,1278
Bonsai cafe,manofthetrees,Gnarlwood,5,I recently read and reviewed a great book on bonsai! Please check out the following...,Gnarled Book Review,4666
Bonsai cafe,bob,,5,"Hi there :). As previously mentioned it is very quiet and i also wish to share something very small. I collected some scots pine seeds last fall and they have grown :) !

I have photos. Any converse...",li'l pines,1244
Bonsai cafe,m5eaygeoff,m5eaygeoff,3,What the hell is going on? Every time I try to log on my password is not saved I and I have to do it again before it will log me on. Only been like it today.,forum not working,1417
Bonsai cafe,bob,Gnarlwood,78,"The following suggestions, thoughts, and observations will appear on this Thread every two to four weeks or as my schedule allows.

A Gnarled Thought:

Consider keeping a bonsai journal. A bonsia...",A Gnarled Thought,14.1k
Bonsai cafe,bob,,0,"This question is off topic but hopefully may be fun-ish, if you could own any building in the world and it's grounds which would you want to have. Any comments, including &quot;this is stupid, you...",Off topic,1105
Bonsai cafe,alainleon1983,bearcatrailroad,4,"Hu guys, I just got a Juniper Bonsai Starter Kit.
The Juniper is 3yrs old, the trunk around 1/8th of an inch thick. Do you think that it safe to work on, or should I let it bulk up some.",Just got...,1202
Bonsai cafe,Neli,aubs,6,"Hi all,

Here are a few of my GIF's

Hope you like :cheer:

Cheers Aubs

The last 2 are the same plant as the first 2 before it was damage in a storm",Green Island Figs,1503
Bonsai cafe,manofthetrees,penz,3,"Hi bonsai enthusiasts!

People had asked me before: Which is the tree that would grow faster as a bonsai and I always answer the same: Bonsai is an art of patience so you shouln't look for the one...",Bonsai & Patience,1454
Bonsai cafe,snuffy,Pinkham,6,"Hi everyone.
After a hellish fall and winter things have started to normalize enough in my life to be able to start doing the things I love once again. Jeffrey is on the mend after a terrible battle...",I'm back   :),1425
Bonsai cafe,jeroen03,jeroen03,4,the reason i put this topic up is to hear other peoples thoughts of choosing a bonsai in their country. of course there are different climates in some big countries but i mean the trees u can easily...,different countries/ different trees?,1494
Bonsai cafe,Youri1995,Sandeep,1,"Hello Friends,

I am Sandeep from Gurgaon, India. Want to know, if there is any Bonsai Forum from in and around Gurgaon, India, where I can connect with. As I have recently relocated to the city,...","Any Bonsai Forum in Gurgaon, India",4680
Bonsai cafe,tubaboy,,8,"Anyone here enrolled in our new online course? I'd love to hear you first impressions!

For those not aware, we spend a week in Japan last summer with Michael Hagedorn to film this new online course....","The new ""Bonsai Fundamentals Course""",813
Bonsai cafe,spacewood,spacewood,2,"M5 Bonsai Works
https://www.facebook.com/permalink.php?story_fbid=1274638062624818&amp;id=760996583988971",this is so inspiring,606
Bonsai cafe,m5eaygeoff,Sydneysider,3,"I am hoping to come to NZ in March or April of 2017 and will be staying in Stratford near Mt Taranaki. I would love to be in contact with bonsai enthusiasts in the area, attend club meetings or shows...",NZ Holiday,629
Bonsai cafe,Bonsai Bender,Bonsai Bender,20,"Hello World! (programing joke)

I am 6 weeks into my Journey (or 1yr 2m if you include the juniper I bought last year and killed). I have a mentor/friend who is helping me get started. I have made...",Introducing Myself to the Group,3280
Bonsai cafe,simplysaid,claybwell,13,"Hey BF Community!

New to this site so allow me some noob-slack haha.
I am a maker of things based out of Bloomington, Indiana. This post is intended to solicit some advice and or opinions of some new...",Seeking Advice On Planters,2756
Bonsai cafe,Auk,leatherback,8,"A little .
Looking through the posts in the last few months, I have noticed a clear increae of aggression on the forum. And I am saddened by it. Instead of focussing on the trees, their potential and...",A call for reflection.. On posting & attitude,953
Bonsai cafe,Mimo,zuonkun,1,It's come from nature and very beauty. Welcome!,AMAZING my bonsai come from Vietnam,620
Bonsai cafe,Auk,,14,"Hi everybody,

Being now on this forum for a couple of weeks, I can't help my self noticing that the individuals with the biggest application of theoretical knowledge, are the ones, with the least to...",,2845
Bonsai cafe,Auk,,15,"Thank you all and especially the forum admin for letting me participate. Looking forward to have a good time of viewing, learning and posting.
Regard,
Andreas",Hello from Jakarta,2901
Bonsai cafe,Harold1,manofthetrees,16,"ive tried to set up a gallery but i can seem to get it to work so...
here are my trees

[image]

this is the new moring and evening...",my collection,9368
Bonsai cafe,tommyboy26,tommyboy26,0,"Just wondering if there is anyone here from ireland who could help me out with some local knowledge about bonsai clubs, nurseries etc",Anyone from ireland,456
Bonsai cafe,simplysaid,Bonsai Bender,4,My Family Tree had a bud that decided to bloom 5 weeks early. My second daughter gave us quite a scare coming early and still being breach. Mom and baby are doing great. Lainey Melissa Bender December...,Bonsai Family Growing,746
Bonsai cafe,tubaboy,Mimo,3,"Hello everybody, my dear bonsai fellows.
As the christmas time is coming and I noticed that many of you here are musicians or play an instrument, I want to share with you the sheet music for popular...",Christmas song,644
Bonsai cafe,Madartej21,leatherback,7,"Hi All,

Based on an idea on the Dutch forum.. Why not share some shots of your bonsai in full fall-looks. The idea there is to even make it into a small contest for the fame and glory. Sorry, no...",2016 Fall bonsai pictures,770
Bonsai cafe,Samantha,jimib,13,Hello everyone. My name is Jimmy and I'm relatively new to bonsai. I have some trees I've been working with and wanted to show them. These are all nursery stock finds I got at highly discounted...,Hello from Ohio,2775
Bonsai cafe,Indo Andreas,eangola,5,"This post is just to thank everyone who makes this forum stay alive. I wouldn't have learned what I have, and probably would have given up already if it wasn't for the people on this forum. This is a...",Thank you,760
Bonsai cafe,Indo Andreas,,0,"What a nice morning, coffee at hand walking around and there it was, my smallest and one of the nicer trees of the Ficus Coreana, bitten apart and the green glazed bonsai pot done and dusted (hard to...",Gotta love those dogs,618
Bonsai cafe,Indo Andreas,,0,"Thank you for taking the time updating this site, it has a fresh new look, I like it.",To the Admin,555
Bonsai cafe,Auk,,4,"Hello, I am a new comer, first I posted and then I took my time seeing what has been posted. Impressive and inspiring. But, why there are no updates?? I left some comments on topics, wishful I hope...",TO ALL,640
Bonsai cafe,leatherback,,4,"Prune your rosemary. Cut the long shoots and keep the clippings.

Get the following ingredients:
- 6 to 8 small red potatoes, quartered into 1/2-inch pieces
- 1 tablespoon olive oil
- Garlic
- Salt
-...",Roasted Red Potatoes with Rosemary,1272
Bonsai cafe,Hrsiii,tubaboy,3,"So, I was visiting my relatives near Chicago, and we went to the botanical gardens, which has a good selection of some interesting bonsai. I thought I would share some of the pics with you.

This is...",Chicago Botanical Gardens,224
Bonsai cafe,alainleon1983,tubaboy,4,"Anyone in Holland/Germany familiar with the Bonsai Center in Münster? I'm going to Münster this week and was wondering if it would be worthwhile to make a stop there.

www.bonsai.de",Bonsai Center Münster,1226
Bonsai cafe,333Adriaan333,leatherback,1,"Hi All,

With the old coming to the end, and the new year n our doorstep, I thought we could use the international background.

First of alll.. Happy new year for all of you in a few hours! May the...",Happy New Year Traditions!,1402
Bonsai cafe,Tư Ếch,Tư Ếch,0,AgriMark Garden,AgriMark Vietnam,1407
Bonsai cafe,Travi51,Clicio,3,"Hi, folks;

As I am travelling again to the Tropical Northeast of Brazil, and took the Sunday off, so I decided to check on a legend around here: The biggest cashew tree in the world, and people here...",Biggest cashew tree in the world - True!,1528
Bonsai cafe,leatherback,Clicio,7,As seen in Brazil.,The square root,1345
Bonsai cafe,AidansTrees,Enaisio,1,"I found this beer in Lidl the other day and took a pic for obvious reasons , I thought I would start a post, for anyone that finds funny puns regarding bonsai , to share them here ;)",Bonsai puns,2853
Bonsai cafe,Mimo,Mimo,2,"Hi lads,

I took a nice trip over the weekend with my friend to Bokšov rocks to collect some small ones for new penjings.
If you are interested to see some pics of slovakian nature, click on the link...",Bokšov rocks,1433
Bonsai cafe,Enaisio,Mimo,4,,BONSAI PORN,1773
Bonsai cafe,AndyS,Youri1995,380,"Hi Everyone,

Here is a topic to introduce yourself, where you come from, what your experience is with bonsai etc.

I'll begin :)

I'm Youri van Pinxteren, I'm 15 years old and I live in Ulvenhout,...",Introduce yourself!,59.9k
Bonsai cafe,,spacewood,25,Whats going on here? I just see Auk profile is banned on the forum. Anyone has an idea?,,3144
Bonsai cafe,spacewood,spacewood,2,"Someone here in another topic has proposed a Discord chat server where Bonsai heads can get together, chat and share so I have created one for you guys.

Join on this link: https://discord.gg/S6Qzy...",Discord Chat Server,1364
Bonsai cafe,Clicio,crent89,3,ive seen some pretty neat root over rock trees but root over palm stump is a new one to me. taken at my local golf course.,root over stump,154
Bonsai cafe,Ivan Mann,,17,"I have learned a lot from your posts.
And kind of got used of your sense of humor.
;)","Hey Auk, we miss you, man!",452
Bonsai cafe,Auk,Clicio,23,"People come in, don't introduce themselves, don't say hello, ask some question about a &quot;gift bonsai (sic) that is yellow/dying/dead&quot;, most don't wait long for the answer and are gone for good.
I was...",Why is this happening in this forum?,1744
Bonsai cafe,Clicio,leatherback,17,"Hey Clicio,

Please check your messages!

Oscar, could something be done to ensure we get notification somewhere that new messages arrive in our inbox?

Cheers,

J.",Clicio where are you?,2037
Bonsai cafe,Clicio,,13,"What do you use it for?
I use it (besides thanking someone for a good answer or piece of information) :
To agree with someone or something.
To say &quot;I like it&quot;.

What about you?","""Thank you"" feature of the forum.",426
Bonsai cafe,Shermanator,Shermanator,0,"Hello everyone,
I am working out a plan to effectively over-winter my trees this year. I live in North Dakota where temps get to -30F (-35C) not including wind. I have a couple options available to...",Over-wintering,202
Bonsai cafe,333Adriaan333,leatherback,3,"Thought I'd share this here. I am sure many will know one or two people who go out of their way to help others out growing in Bonsai:

https://bonsaiangels.com/nominate-an-angel/",bonsai angels,1421
Bonsai cafe,leatherback,Nikola990,7,"Greetings!
After exactly two years of learning about bonsai, growing tens,hundreds of shrubs and trees to be bonsaified and believing 100 % I can do it, I finally got my first bonsai tree! I did a...","Boxwood, beginner's best friend",1731
Bonsai cafe,crent89,crent89,2,"so around mid October i will being taking a vacation out to Germany. i will be visiting Berlin, Munich and Amsterdam. thinking of hitting Switzerland as well. By any chance does anyone know of any...",vacation to germany,224
Bonsai cafe,JackyM,JackyM,0,"I drive past this tree every day and it seems a creative city worker has gotten his hands on it.
Very interesting Jin..
The branch next to it seems to have smaller branches being shaped into a bird...",What would they have planned for this tree?,181
Bonsai cafe,Clicio,Clicio,0,"Hi, I've just came back from a quick trip to the sunny and warm northeast of Brazil, and two things called my attention:
1-) Fancy jewelry shops selling semi-precious stone bonsai;
2-) A Ficus...",Curiosities - bonsai is becoming too popular...,1373
Bonsai cafe,leatherback,spacewood,13,"Something for your inspiration..

Heart of the Dragon. Photography by Beth Moon

Avenue of the Baobabs. Photography by Beth Moon

Bowthorpe Oak. Photography by Beth Moon...",Inspirations galore: Ancient Trees,2922
Bonsai cafe,Clicio,,14,"This site and others have answers to the question, and all pretty decent. The answers are lists of what we think, and pretty good lists, but they miss one thing that (I think) should be the first...",What is a bonsai?,1682
Bonsai cafe,Clicio,,3,"Browsing on the internet, I just found that artist specialized for bonsai pots. I like his work.
Link:",Interesting Pots,253
Bonsai cafe,Auk,Clicio,1,"Hello, folks;
This above, and other questions like the ones below seems to be recurrent and asked by newbies every single day.
&quot;How do I style my Ficus Ginseng Bonsai?&quot;
&quot; I got this bonsai as a...","Should I pot it, ground it, or leave it alone?",1455
Bonsai cafe,Mimo,Clicio,6,"I was lucky to be invited to a bonsai show in Japan, first week of Spring. Sakuras were in full blossom, still some snow around.
Some of the trees (like this one) were more than 200 years old, and...","Bonsai show in Nagahama, Shiga-Japan",480
Bonsai cafe,Felidae,,25,"Roadside fauna from today:
https://youtu.be/EdcZAvP9JRQ",Swiss inspiration,792
Bonsai cafe,tubaboy,tubaboy,16,"I'm moving to a house with a garden, finally, and am picking up a couple of new trees in the process. I've gotten one of them, a birch, and I wanted to get a needle leaf tree, either a juniper, pine,...","Juniper or Pine, and if pine which kind?",311
Bonsai cafe,spacewood,spacewood,0,"Hi guys, growing bonsai is a serious thing but I want to share something little different with you here. I recently found two very cool and entertaining games on the apple app store and I thought you...",Just for (bonsai) fun,523
Bonsai cafe,Mimo,Mimo,58,"Works continue on my penjing heaven, the dragons has landed, now I need to get a drawing of literati bonsai on the house and hopefully I will have a proper bonsai trees on those penjings someday to...",Building my penjing heaven,4576
Bonsai cafe,Felidae,spacewood,6,"Thought you may find it interesting while drinking your morning coffee..

https://www.youtube.com/watch?v=yWOqeyPIVRo",Wood Wide Web,309
Bonsai cafe,Orlando,Orlando,10,"i'm not a professional bonsai artist. I'm Just a amateur. I'm still going to bonsai classes.

I want to discuss this tree and style the tree with you. The plant is very weak and it wil probably DIE...",invite,1859
Bonsai cafe,Felidae,,8,"Amazon Rain Forest.
photo ©AraquemAlcantara","Nebari, Brazilian Style",360
Bonsai cafe,leroycoutts,,14,"For those of you that like photography, some of my professional work can be seen on those links below.
I think the experience is more enjoyable in landscape (horizontal) aspect ratio, so turn your...",Some photography (not bonsai related: fashion/fineart/beauty work),407
Bonsai cafe,leatherback,leatherback,14,"As Oscar so nicely hinted that we are not supposed to discuss our collections in his thread on shop reviews I have opened one in which everyone can share their collection. With the rain pooring down,...",What is in YOUR collection,11k
Bonsai cafe,Felidae,,20,"I scratched down that two last night. Or I’ll find a professional who can make pots from my drawings, or I’ll learn pottery... Either, you’ll see the results.",Pot sketches,707
Bonsai cafe,Felidae,Mimo,3,"I love his works so I was very happy when I came across this page :)

https://kknews.cc/culture/856vmkg.html",Evolution of pines by Han Xuenian,281
Bonsai cafe,Felidae,,4,"Hey All,

I have plans for buying some trees in the year, according a flowering one.
I came across that site today, and looks like their Prebonsai stock have some nice pieces. I need to drive 5 hours...",Worth to visit that shop?,342
Current competition,,,,,,
Current competition,bob,Gowing,2,"Hi, been trying to upload pic for a white but keeps telling me that it not spelt right though I'm on the page???????

anyone else having probs????

thanks",The site,3095
Current competition,RedHot,,46,"Herewith we invite all to participate in an online competition in trunk-fusion bonsai! An idea put forward by one of our active members, Leatherback. Thanks!

Trunk fusion?
The starting point of any...",Bonsai Empire competition “Trunk fusion”,17k
Current competition,,,,,,
Current competition,bob,Gowing,2,"Hi, been trying to upload pic for a white but keeps telling me that it not spelt right though I'm on the page???????

anyone else having probs????

thanks",The site,3095
Current competition,RedHot,,46,"Herewith we invite all to participate in an online competition in trunk-fusion bonsai! An idea put forward by one of our active members, Leatherback. Thanks!

Trunk fusion?
The starting point of any...",Bonsai Empire competition “Trunk fusion”,17k
Current competition,,,,,,
Current competition,bob,Gowing,2,"Hi, been trying to upload pic for a white but keeps telling me that it not spelt right though I'm on the page???????

anyone else having probs????

thanks",The site,3095
Current competition,RedHot,,46,"Herewith we invite all to participate in an online competition in trunk-fusion bonsai! An idea put forward by one of our active members, Leatherback. Thanks!

Trunk fusion?
The starting point of any...",Bonsai Empire competition “Trunk fusion”,17k
Current competition,,,,,,
Current competition,bob,Gowing,2,"Hi, been trying to upload pic for a white but keeps telling me that it not spelt right though I'm on the page???????

anyone else having probs????

thanks",The site,3095
Current competition,RedHot,,46,"Herewith we invite all to participate in an online competition in trunk-fusion bonsai! An idea put forward by one of our active members, Leatherback. Thanks!

Trunk fusion?
The starting point of any...",Bonsai Empire competition “Trunk fusion”,17k
Watering and fertilizing,Ghataora,Ghataora,20,"Hello!

I brought a bonsai tree (Chinese elm I think) from Asda recently Its the first bonsai I have ever owned so Im not too sure what Im doing wrong. But the soil seems to be very very dry! Ive...",Mouldy but dry soil? Please Help!,5333
Watering and fertilizing,iamaghlobeli,iamaghlobeli,6,"Hello guys,
I'm new to this so forgive me if I will ask something stupid here.
I planted japanese black pine and wisteria seeds about a month ago and today noticed that finally in pine pot it has...",japanese black pine and Japanese Wisteria care,1484
Watering and fertilizing,m5eaygeoff,rng2ml,7,"Hello Everyone,

I got a Bonsai for Christmas, a mixed red/white Azalea. (Images attached)

Historically I have a black thumb, so I have been consuming as many articles on Bonsai care, creation,...",Watering Question of Azaleas,1409
Watering and fertilizing,leatherback,Mattyhatch1,9,"I was wondering what fertilizer other bonsai owners use. At the moment I'm using Yates Uplift, which I don't really think is the best for bonsai. Is there a 'best brand' that I should look out for? I...",Good fertilizer for bonsais?,4899
Watering and fertilizing,Auk,Spenwhich,8,"Hello! I have a small Ficus Retusa (I believe) bonsai tree in a small pot. I have a habit of watering it about every day - to ensure the soil is moist. I top water it mostly with a spray bottle, and I...",Ficus Watering & Root Question,1499
Watering and fertilizing,John Lee,jader2012,22,"how much liquid fertilizer should i pour on . after i water i am told but don,t know how much or how long to pour. will it not wash away?",fertilizing,5116
Watering and fertilizing,bob,,35,"Ok, folks, my question is when do you water and why?
Not a silly question, I have my watering regime and I would like to know what you do.
Geoff.",When do you water?,5806
Watering and fertilizing,alainleon1983,alainleon1983,9,"Well, this might sound awkward.
I´m leaving home for two weeks and I don´t have no one to take care of my trees while I´m gone and I´m trying to come up with a method that might keep my trees...",Leaving for two weeks,3207
Watering and fertilizing,m5eaygeoff,,2,"my friend says you have to use a watering can to water but I said you can use a water bottle, any way, I would like to know if you have to use a watering can or if you can use a water bottle, thanks.",what can you use for watering,1359
Watering and fertilizing,stiple,JMoney,7,"I was wondering how different people water their trees when they go out of town? I have always had a friend do it, but as of late I was wondering if i shouldn't build an automated drip system. This...",Automated drip system,2917
Watering and fertilizing,Contrainer,Auk,15,"I've placed a load of fertilizer containers in the pot of my juniper yesterday... and this morning found 3 of them in the lawn. Wonder who did this. A bird I guess. Our dog can't reach it, our cat......",Who did this?,3843
Watering and fertilizing,bob,mousegunner,8,"I have repotted a number of trees using Bonsai Focus Repotting Mix, I've noticed that after watering through it seems to hold a lot of moisture for days. Even a full day after watering I can push...",Watering / Compost question.,1821
Watering and fertilizing,mousegunner,mousegunner,2,I have been using drip feeders to fertilise my chinese privet but one evening I arrived home to find that it had emptied itself into the soil. Since then it has been losing leaves. Is it best to...,Overfertilisation,1292
Watering and fertilizing,m5eaygeoff,annegurung,1,I don't know i just buy maple japense red and i don't know should i put in new put and should i spray water ? and what to prevent from bugs pleease help!!!,Helpp,1117
Watering and fertilizing,John Lee,grandfaddah,4,I can't find information on how to care for such a tree. I live in southern California about fifty miles from San Diego in the desert country. I treat it as an outdoor plant. I use a humidity tray...,Crepe Myrtle,1715
Watering and fertilizing,bob,alainleon1983,16,"The first photo displays 2 sets of 3 containers previously filled with a saline solution. I emptied all six of them and refilled them with regular water.
Next came the connections, that can be seen in...",Dripping System,4796
Watering and fertilizing,bob,,1,"Hello earthlings, this topic is about holiday watering systems. One day, I was browsing t'internet and found what looked liked a good drip irrigation system. I followed my heart (not to mention my...",Holiday madness!?,1201
Watering and fertilizing,Nehemiah,floraAdore,10,"Morning all!!
I've always used super thrive so, it's what I had when this obsession began but, I've been informed many use osmocote. Looking today I saw osmocote for tree/shrub/conifers &amp; another...",Osmocote question,6352
